[LiBr(tBuPhBPin)]- std_dev (tBuPhBPin)- std_dev [LiBrPh]- std_dev [LiBr(OH)]- std_dev Ph- std_dev
0.000000000000000000e+00 9.728388807415234396e+01 8.836210294348373351e-01 9.517562708959432793e-01 2.647349708611868579e-01 1.687038210432190599e+00 6.208479974054537109e-01 7.731744451951516606e-02 1.961938831802926327e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.751741357597114757e+01 3.866436972727504973e-02 8.818117419399426060e-01 1.374434377198354741e-02 1.494530988908986835e+00 5.225440224514841386e-02 1.062436931799232154e-01 1.543112541182869535e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.659706473159081952e+01 1.588765391521080109e-02 1.240828290171335446e+00 3.482073053949705926e-02 2.026274026288709340e+00 5.630182353552320995e-02 1.358329519491259241e-01 5.593439080816994986e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 9.493158225857186494e+01 9.453299213724343508e-02 1.883453916325888766e+00 6.116840667703698359e-02 2.952972632903428707e+00 3.892534970356920088e-02 2.201950298836111708e-01 2.224305697346799435e-02 1.179616231519345707e-02 1.668229273010099489e-02
4.000000000000000000e+00 9.225795403326543465e+01 2.028590633138889487e-01 2.948279094475581452e+00 1.457520964478225822e-01 4.498981019219975508e+00 6.186665520834232906e-02 2.947858530390059517e-01 4.759688342268600381e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 8.775261858267418802e+01 6.483782419729197111e-01 4.611473595048599883e+00 1.083144387186430746e-01 7.242608628522633651e+00 6.542779945082899395e-01 3.932991937545816663e-01 1.142141912540139415e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 8.226929775863541749e+01 5.791793714482816879e-01 7.011674935900005678e+00 4.693165468164169074e-02 1.014504693548865077e+01 6.048425323135858678e-01 5.630918682337684444e-01 8.799348238463669536e-02 1.088850174216027950e-02 1.539866683768614103e-02
7.000000000000000000e+00 7.528574959834557490e+01 4.616200937927634196e-01 9.831516073742808004e+00 2.550283384170303758e-01 1.406582496261837179e+01 8.878875135098758253e-01 8.169093652932327698e-01 1.712390813000834178e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 6.623371998214571477e+01 5.751376519690588190e-02 1.415743564663906184e+01 5.630752382639445663e-01 1.858273597859968973e+01 7.753521734769718288e-01 1.026108392615532328e+00 1.547631700161110346e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 5.579237595579616737e+01 2.500546165986464731e-01 1.936344440103439979e+01 4.978070679034821699e-01 2.353777604137597379e+01 1.003191548431170199e+00 1.301826942754553240e+00 2.618022372122096875e-01 4.576659038901601841e-03 6.472373283172059601e-03
1.000000000000000000e+01 4.487159024029223531e+01 4.504519304134363966e-01 2.521152292202892653e+01 3.518094812638681845e-01 2.836176638318824672e+01 1.052710690964254736e+00 1.544226021545820560e+00 2.350422244620974654e-01 1.089443294476522515e-02 1.540705482485123755e-02
1.100000000000000000e+01 3.488884205341454248e+01 6.397777904588604070e-01 3.151075189881011340e+01 2.034281494919250310e-01 3.186201953512897234e+01 1.022635305720070553e+00 1.728794186507278674e+00 1.929949634898877608e-01 9.592326139088728360e-03 1.356559772060522695e-02
1.200000000000000000e+01 2.596349418352662042e+01 3.779721218271831495e-01 3.744994167259585538e+01 1.421908047122592000e-01 3.468363029280470755e+01 6.694763061652773128e-01 1.878244931459937206e+00 1.842287845827146331e-01 2.468891961287774175e-02 3.491540495687080886e-02
1.300000000000000000e+01 1.840669140087973688e+01 2.298984950194069565e-01 4.299149517325159309e+01 3.020044600585640171e-01 3.662959394875090879e+01 7.409330753421876636e-01 1.920236732548516123e+00 2.210439066889525461e-01 5.198274456924642517e-02 1.201378642473215422e-02
1.400000000000000000e+01 1.245146475262033725e+01 2.521176936059255080e-01 4.866532956056920511e+01 8.748849684784296143e-02 3.685358086835719149e+01 5.285456224830817895e-01 1.967365189334824738e+00 2.306353836621618247e-01 6.225962911844214187e-02 4.169595163284769979e-02
1.500000000000000000e+01 8.688056079551870425e+00 3.339475419545410301e-02 5.264875604375919238e+01 5.217114084492524562e-01 3.668958655521366552e+01 8.440527802358472886e-01 1.910401883071803919e+00 2.710590328939338489e-01 6.319943840346503583e-02 1.788758469721059979e-02
2.000000000000000000e+01 8.878035928375294095e-01 9.622663055652890332e-03 6.501029701821556728e+01 2.225347655143855852e-01 3.179624956491472432e+01 3.366735646008020555e-01 1.709993908806125784e+00 1.479292162463155813e-01 5.956559152260509915e-01 2.416775410425077431e-02
2.500000000000000000e+01 4.272679678643932083e-02 2.902575771298768550e-02 6.325579268167092550e+01 1.557109926256518284e-01 3.174744945247909556e+01 1.854153089349659944e-01 1.925676017269911444e+00 3.979994420583486681e-02 3.028355051793631070e+00 1.893012981646430976e-02
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.935959407507914420e+01 8.353118607470001455e-01 3.679323552691090526e+01 5.307898172322715880e-01 2.256968000904568061e+00 4.467389348575089708e-02 1.159020239710538291e+01 3.491959370004800722e-01
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.890796938158160145e+01 1.403995919295158989e+00 4.086722958260630634e+01 1.159818223166914075e+00 2.843368493659158336e+00 1.899274674074117597e-01 2.738143254215293609e+01 2.753741609869484908e+00
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.021051189552034444e+01 5.295470665993596837e-01 3.819847177192261256e+01 1.233995349301145739e+00 2.616938368570862927e+00 5.494588973556362443e-01 4.897407796398617563e+01 1.253907180057432180e+00
4.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.492429536454693562e+00 3.294231452068738242e-02 3.426508269275564800e+01 4.282500887689287272e-01 2.177964127649662185e+00 4.117789315085880197e-01 6.106452364313999226e+01 8.070867057568302805e-01
